count	event_kind	phase	authority	parallel_copy	execution_site	destination_storage	source_storage	move_reason	first_owner	coherence_family
278	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64
50	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64
