count	event_kind	phase	authority	parallel_copy	execution_site	destination_storage	source_storage	move_reason	first_owner	coherence_family
278	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64
62	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	phi_join_register_to_register	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64
50	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64
26	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	edge_consumer_preservation_register_to_register	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64
3	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	stack_slot	<not_reported>	edge_consumer_preservation_register_to_stack	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64
3	<not_reported>	<not_reported>	<not_reported>	<not_reported>	<not_reported>	<not_reported>	<not_reported>	select_publication_move_bundle	select_publication_move_bundle_evidence_splitter	missing_case_log_detail_select_publication
1	pre_terminator_copies	before_return	none	no	<not_applicable>	register	<not_reported>	return_stack_to_register	rv64_before_return_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64
